experiment_id,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C
2,5668.086,13.0875,195.62,2560.1664,28.4531
2,5669.085,13.087109,196.608,2573.0304,28.4609
2,5670.087,13.087305,197.1,2579.5072,28.4531
2,5671.086,13.086914,193.152,2528.0768,28.4609
2,5672.088,13.086719,194.888,2550.4256,28.4609
2,5673.087,13.086719,197.364,2582.8736,28.4609
2,5674.089,13.086719,196.74,2574.6816,28.4609
2,5675.088,13.086523,197.492,2584.4736,28.4609
2,5676.09,13.086328,197.448,2583.8592,28.4609
2,5677.089,13.086523,197.624,2586.1632,28.4609
2,5678.091,13.086328,198.68,2599.9616,28.4609
2,5679.09,13.086133,198.048,2591.68,28.4609
2,5680.092,13.086133,197.888,2589.568,28.4609
2,5681.091,13.086328,199.588,2611.8656,28.4609
2,5682.093,13.086133,198.864,2602.3808,28.4609
2,5683.092,13.085938,198.244,2594.2272,28.4609
2,5684.094,13.085938,199.536,2611.1488,28.4609
2,5685.093,13.085742,199.02,2604.3008,28.4609
2,5686.095,13.085742,198.708,2600.256,28.4609
2,5687.094,13.085742,199.916,2616.0384,28.4609
2,5688.096,13.085547,200.136,2618.9056,28.4609
2,5689.095,13.085352,196.292,2568.7424,28.4609
2,5690.097,13.085352,200.6,2624.9088,28.4609
2,5691.096,13.085742,201.448,2636.0704,28.4609
2,5692.098,13.085547,200.272,2620.6464,28.4609
2,5693.097,13.085352,198.464,2597.1968,28.4609
2,5694.099,13.085352,200.04,2617.8432,28.4609
2,5695.098,13.085352,201.88,2641.6896,28.4609
2,5696.1,13.085156,199.952,2616.6272,28.4531
2,5697.099,13.085352,202.624,2651.3792,28.4609
2,5698.101,13.084961,203.336,2660.6208,28.4531
2,5699.1,13.085156,204.408,2674.688,28.4609
2,5700.098,13.085352,204.26,2672.8064,28.4531
2,5701.097,13.085547,204.608,2677.4016,28.4531
2,5702.099,13.085352,206.172,2697.8048,28.4453
2,5703.098,13.085352,205.764,2692.48,28.4531
2,5704.1,13.085352,206.436,2701.2736,28.4531
2,5705.099,13.085156,208.008,2721.792,28.4531
2,5706.101,13.085547,207.664,2717.4272,28.4453
2,5707.1,13.085156,205.02,2683.0208,28.4453
2,5708.102,13.085547,209.776,2745.0368,28.4453
2,5709.101,13.085547,210.016,2748.1856,28.4453
2,5710.103,13.085352,209.732,2744.4224,28.4453
2,5711.102,13.085547,211.712,2770.3424,28.4453
2,5712.104,13.085938,212.208,2776.9472,28.4375
2,5713.103,13.085742,208.98,2734.8736,28.4375
2,5714.105,13.086133,213.932,2799.5392,28.4375
2,5715.104,13.085938,214.74,2810.0608,28.4375
2,5716.106,13.085938,214.284,2804.0704,28.4375
2,5717.105,13.086328,216.396,2831.7824,28.4375
2,5718.107,13.086328,214.552,2807.7184,28.4453
2,5719.106,13.086523,217.896,2851.4944,28.4375
2,5720.108,13.086328,218.264,2856.2816,28.4375
2,5721.107,13.086328,217.812,2850.3552,28.4375
2,5722.109,13.086523,219.516,2872.7168,28.4375
2,5723.108,13.087109,221.252,2895.5392,28.4453
2,5724.11,13.086719,221.052,2892.8512,28.4453
2,5725.109,13.087109,222.384,2910.3232,28.4375
2,5726.111,13.087109,223.948,2930.8416,28.4375
2,5727.11,13.0875,223.408,2923.8528,28.4375
2,5728.112,13.087305,224.392,2936.704,28.4375
2,5729.111,13.087891,225.944,2957.0944,28.4375
2,5730.113,13.087695,226.192,2960.3328,28.4375
2,5731.112,13.088086,226.548,2965.056,28.4375
2,5732.114,13.087695,225.7,2954.176,28.4453
2,5733.113,13.088477,229.016,2997.44,28.4375
2,5734.115,13.088477,228.72,2993.5872,28.4375
2,5735.114,13.088672,231.376,3028.4032,28.4453
2,5736.116,13.088477,229.04,2997.7984,28.4375
2,5737.115,13.089063,232.628,3044.864,28.4375
2,5738.117,13.089453,234.952,3075.392,28.4375
2,5739.116,13.089648,235.956,3088.576,28.4375
2,5740.118,13.089844,236.504,3095.8336,28.4375
2,5741.117,13.089648,237.86,3113.4976,28.4375
2,5742.119,13.090234,238.6,3123.3152,28.4297
