captured_at,experiment_id,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C
2026-09-09T13:31:01.315362-07:00,2,7671.094,13.080859,155.536,2034.5472,30.7344
2026-09-09T13:31:02.317850-07:00,2,7672.096,13.080469,152.108,1989.6576,30.7266
2026-09-09T13:31:03.316726-07:00,2,7673.095,13.080273,150.22,1964.8768,30.7266
2026-09-09T13:31:04.318984-07:00,2,7674.097,13.080078,148.38,1940.8128,30.7344
2026-09-09T13:31:05.318018-07:00,2,7675.096,13.079297,145.652,1905.0112,30.7422
2026-09-09T13:31:06.319324-07:00,2,7676.098,13.079492,144.908,1895.296,30.7344
2026-09-09T13:31:07.319423-07:00,2,7677.097,13.079102,144.288,1887.1424,30.7422
2026-09-09T13:31:08.320568-07:00,2,7678.099,13.078906,142.172,1859.456,30.7422
2026-09-09T13:31:09.319589-07:00,2,7679.098,13.078906,142.504,1863.7824,30.7422
2026-09-09T13:31:10.321569-07:00,2,7680.096,13.07832,141.424,1849.8688,30.7422
2026-09-09T13:31:11.320441-07:00,2,7681.095,13.078711,143.284,1873.9328,30.7422
2026-09-09T13:31:12.324443-07:00,2,7682.097,13.078516,144.12,1884.8768,30.7422
2026-09-09T13:31:13.323097-07:00,2,7683.096,13.078516,147.588,1930.2272,30.7422
2026-09-09T13:31:14.325266-07:00,2,7684.098,13.078906,151.8,1985.3696,30.75
2026-09-09T13:31:15.326649-07:00,2,7685.097,13.079688,157.736,2063.1168,30.75
2026-09-09T13:31:16.324299-07:00,2,7686.099,13.079883,162.052,2119.6416,30.75
2026-09-09T13:31:17.325955-07:00,2,7687.098,13.080078,166.708,2180.544,30.75
2026-09-09T13:31:18.327562-07:00,2,7688.1,13.080859,171.8,2247.3088,30.75
2026-09-09T13:31:19.324440-07:00,2,7689.099,13.081055,173.308,2267.072,30.7578
2026-09-09T13:31:20.328549-07:00,2,7690.101,13.081641,173.44,2268.864,30.7578
2026-09-09T13:31:21.325349-07:00,2,7691.1,13.082031,174.076,2277.2608,30.7578
2026-09-09T13:31:22.328906-07:00,2,7692.102,13.081836,171.996,2250.0096,30.7578
2026-09-09T13:31:23.327689-07:00,2,7693.101,13.082031,168.904,2209.6128,30.7578
